DATAFLOW,LAST UPDATE,freq,sex,age,training,wstatus,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Freiburg,2024,6.9,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Tübingen,2024,6.4,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Bayern,2024,5.0,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Oberbayern,2024,5.0,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Niederbayern,2024,,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Oberpfalz,2024,,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Oberfranken,2024,,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Mittelfranken,2024,,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Unterfranken,2024,,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Schwaben,2024,,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Berlin,2024,11.3,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Brandenburg,2024,9.4,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Bremen,2024,,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Hamburg,2024,8.5,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Hessen,2024,8.6,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Darmstadt,2024,8.4,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Gießen,2024,,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Kassel,2024,,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Mecklenburg-Vorpommern,2024,,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Niedersachsen,2024,8.2,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Braunschweig,2024,9.2,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Hannover,2024,8.7,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Lüneburg,2024,7.4,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Weser-Ems,2024,7.8,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Nordrhein-Westfalen,2024,7.3,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Düsseldorf,2024,8.3,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Köln,2024,6.0,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Münster,2024,7.5,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Detmold,2024,6.1,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Arnsberg,2024,7.9,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Rheinland-Pfalz,2024,7.7,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Koblenz,2024,,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Trier,2024,,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Rheinhessen-Pfalz,2024,8.6,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Saarland,2024,,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Sachsen,2024,5.8,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Dresden,2024,,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Chemnitz,2024,,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Leipzig,2024,,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Sachsen-Anhalt,2024,7.7,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Schleswig-Holstein,2024,9.9,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Thüringen,2024,8.8,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Denmark,2024,6.8,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Danmark,2024,6.8,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Hovedstaden,2024,5.7,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Sjælland,2024,7.5,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Syddanmark,2024,8.0,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Midtjylland,2024,7.1,,
